"Year","Locationabbr","Locationdesc","Class","Topic","Question","Response","Break_Out","Break_Out_Category","Sample_Size","Data_value","Confidence_limit_Low","Confidence_limit_High","Display_order","Data_value_unit","Data_value_type","Data_Value_Footnote_Symbol","Data_Value_Footnote","DataSource","ClassId","TopicId","LocationID","BreakoutID","BreakOutCategoryID","QuestionID","ResponseID","GeoLocation"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","35-44","Age Group","381","26.7","23.5","29.9","3,672","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","AGE03","CAT3","_PASTAE3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","No","35-44","Age Group","997","73.3","70.1","76.5","3,673","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","AGE03","CAT3","_PASTAE3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","45-54","Age Group","360","29.2","25.6","32.7","3,674","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","AGE04","CAT3","_PASTAE3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","No","45-54","Age Group","895","70.9","67.3","74.4","3,675","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","AGE04","CAT3","_PASTAE3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","55-64","Age Group","480","29.8","26.1","33.5","3,676","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","AGE05","CAT3","_PASTAE3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","No","55-64","Age Group","1,166","70.2","66.5","73.9","3,677","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","AGE05","CAT3","_PASTAE3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","65+","Age Group","1,100","31.1","28.3","33.9","3,678","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","AGE09","CAT3","_PASTAE3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","No","65+","Age Group","2,448","68.9","66.1","71.7","3,679","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","AGE09","CAT3","_PASTAE3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","White, non-Hispanic","Race/Ethnicity","1,785","33.3","31.4","35.2","3,680","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","RACE01","CAT4","_PASTAE3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","No","White, non-Hispanic","Race/Ethnicity","3,610","66.7","64.8","68.6","3,681","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","RACE01","CAT4","_PASTAE3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","Black, non-Hispanic","Race/Ethnicity","187","31.5","26.1","36.8","3,682","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","RACE02","CAT4","_PASTAE3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","No","Black, non-Hispanic","Race/Ethnicity","404","68.5","63.2","73.9","3,683","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","RACE02","CAT4","_PASTAE3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","American Indian or Alaskan Native, non-Hispanic","Race/Ethnicity","37","42.8","29.5","56.1","3,684","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","RACE03","CAT4","_PASTAE3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","No","American Indian or Alaskan Native, non-Hispanic","Race/Ethnicity","65","57.2","43.9","70.5","3,685","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","RACE03","CAT4","_PASTAE3","RESP054","    (37.63864012300047, -120.99999953799971)"
